date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:31	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:03:30%20GMT	http://apple.jeanarbo.com/robots.txt		(from )
15:03:31	10183/10183	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202019%2001:24:22%20GMT	http://apple.jeanarbo.com/	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/index.html	(from )
15:03:31	3974/3974	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202019%2001:16:24%20GMT	http://apple.jeanarbo.com/assets/img/apple-favicon.png	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/assets/img/apple-favicon.png	(from http://apple.jeanarbo.com/)
15:03:32	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4aac-22682%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.1/css/bootstrap.min.css	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.1/css/bootstrap.min.css	(from http://apple.jeanarbo.com/)
15:03:32	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://apple.jeanarbo.com/)
15:03:33	1290/1290	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:20:30%20GMT	http://apple.jeanarbo.com/assets/css/Footer-Clean.css	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/assets/css/Footer-Clean.css	(from http://apple.jeanarbo.com/)
15:03:33	2578/2578	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202019%2000:35:41%20GMT	http://apple.jeanarbo.com/assets/css/styles.css	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/assets/css/styles.css	(from http://apple.jeanarbo.com/)
15:03:33	10183/10183	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202019%2001:24:22%20GMT	http://apple.jeanarbo.com/index.html	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/index-2.html	(from http://apple.jeanarbo.com/)
15:03:34	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:03:34%20GMT	http://apple.jeanarbo.com/%22assets/img/shop_for_college_large.jpg%22	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/_assets/img/shop_for_college_large.9.delayed	(from http://apple.jeanarbo.com/)
15:03:35	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:03:35%20GMT	http://apple.jeanarbo.com/%22assets/img/behind_the_mac_boniface_large.jpg%22	C:/Users/admin/Documents/Jean%20Boyer/Apple%20Site/apple.jeanarbo.com/_assets/img/behind_the_mac_boniface_large.jpg_	(from http://apple.jeanarbo.com/)
